soupId,projectId,title,body
S1,P1,dynamic() ignores <Suspense> hierarchy resulting in layout flicker,"### Link to the code that reproduces this issue

https://codesandbox.io/p/devbox/determined-firefly-9dq24w

### To Reproduce

Open codesandbox on main page and observe the flicker

### Current vs. Expected behavior

My app suffers from a rare (when on prod-optimized build) race condition, which results in layout flicker when navigating between pages.
It got more intense as I moved more pages out of SSR to improve performance, using `dynamic`.
I recalled an earlier issue in which the Router could make a full browser page refresh under some conditions resulting in a white-page flicker, but looks like that issue is long gone (with some NextJS update) and I wasn't able to race it that way.

With Chrome frame-by-frame recording, I finally raced it and seen that the flickered frame contains just the <Footer element without the webpage content.

I wrapped my whole layout code with <Suspend, but the issue remained

So the layout code was
```
const Layout: FC<AppProps> = ({ Component, pageProps }) => {
  return (
    <Suspense>
      <div>
        <Header />
        <Component {...pageProps} />
        <Footer />
      </div>
    </Suspense>
  );
};
export default Layout;
```

Why?
NextJS uses <Suspend in dynamic(), but it will always force fallback to be either a provided element, or it's own element which returns empty content when Suspended.
That means React can't see the parent <Suspend which only works when the child has fallback=null, which would avoid rendering incomplete component with just <Footer inside.

I don't see rendering ""empty"" as a default fallback making sense, IMO it would make sense to use no fallback= at all and refer the error handling, which is part of current ""fallback"" function, to the ErrorBoundary, and otherwise just properly Suspense.

Alternatively, I tried forcing `loading` to `undefined` which should override it properly, but there's another part of code that expects it to be valid and results in crash(it switches the implementation file between server and client, or something):

https://github.com/vercel/next.js/blob/canary/packages/next/src/shared/lib/loadable.shared-runtime.tsx#L142

EDIT: I double checked and what I wrote about `<Suspend fallback={null}` is not right because it seems have no special mechanics compared to a fallback function that itself returns a null component. So in that case, mechanics of `lazy components` seem enough without <Suspend, and if the crash when `loading: undefined` is fixed, and logic for `hasSuspenseBoundary` is extended to avoid forcing it without SSR, it can be used to workaround this problem.

https://github.com/vercel/next.js/blob/canary/packages/next/src/shared/lib/lazy-dynamic/loadable.tsx#L52C11-L52C30

### Provide environment information

```bash
""next"": ""15.1.1-canary.1"",
    ""react"": ""^19.0.0"",
    ""react-dom"": ""^19.0.0""
```


### Which area(s) are affected? (Select all that apply)

Not sure

### Which stage(s) are affected? (Select all that apply)

next dev (local), next start (local)

### Additional context

_No response_"
S1,P1,The link to Server Action's error with Client Component doesn't redirect to the corresponding section,"### Link to the code that reproduces this issue

https://codesandbox.io/p/devbox/condescending-shadow-lsly9n?workspaceId=ws_Sq4GMLXY8mhdG4GGt4EY7P

### To Reproduce

1. Start the application in development _(next dev)_.
2. Create a client component.
3. Create a server action in a different file adding the ""use server"" directive to the top of the function body.
4. Use the server action in the client component.
5. Clicking on the ""Read more"" [link](https://nextjs.org/docs/app/api-reference/functions/server-actions#with-client-components) from the error doesn't redirect to the corresponding client component section.

### Current vs. Expected behavior

Once you get the error and you want to learn how to solve it, the link doesn't redirect to the client component section. Instead, it redirects you to the top of the page.

❌ Current link:
* https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations#with-client-components

✅ Should be:
* https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations#client-components

### Provide environment information

```bash
Operating System:
  Platform: win32
  Arch: x64
  Version: Windows 11 Home
  Available memory (MB): 15714
  Available CPU cores: 16
Binaries:
  Node: 20.6.1
  npm: 10.9.2
  Yarn: 1.22.22
  pnpm: 9.15.0
Relevant Packages:
  next: 15.1.0 // Latest available version is detected (15.1.0).
  eslint-config-next: 15.1.0
  react: 19.0.0
  react-dom: 19.0.0
  typescript: 5.7.2
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Developer Experience

### Which stage(s) are affected? (Select all that apply)

next dev (local), next build (local), next start (local), Vercel (Deployed), Other (Deployed)

### Additional context

_No response_"
S1,P1,[bug]: parallel/intercepting routes requires server reboot to work,"### Link to the code that reproduces this issue

https://github.com/juliusmarminge/next-intercepting-routes

### To Reproduce

1. Start the dev server
2. Navigate to the parallel segment (e.g http://localhost:3000/dashboard/1/1)
3. Click on a card, it opens in a modal
4. Now suppose we change the URL structure, so rename `audit` to `auditt` (in both places) and update the link to point to the new pathname. Refresh the page and click the card again, it opens in the full-page view
5. Restart the dev server, refresh the page again and now it opens in the modal view

Demo:

https://github.com/user-attachments/assets/e4513513-561d-4eff-bc0b-45e5ed0b8aa5



### Current vs. Expected behavior

It requires a server reboot when it shouldn't

### Provide environment information

```bash
Operating System:
  Platform: darwin
  Arch: arm64
  Version: Darwin Kernel Version 24.2.0: Fri Nov 15 19:28:48 PST 2024; root:xnu-11215.61.3~1/RELEASE_ARM64_T6000
  Available memory (MB): 16384
  Available CPU cores: 8
Binaries:
  Node: 20.18.0
  npm: 10.8.2
  Yarn: 1.22.22
  pnpm: N/A
Relevant Packages:
  next: 15.1.1-canary.0 // Latest available version is detected (15.1.1-canary.0).
  eslint-config-next: N/A
  react: 19.0.0
  react-dom: 19.0.0
  typescript: 5.5.3
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Parallel & Intercepting Routes

### Which stage(s) are affected? (Select all that apply)

next dev (local)

### Additional context


Changing the path like this might not be very realistic, but I wasted a lot of time to understand why my parallel routes wasn't working when adding them yesterday, trying to understand the necessary folder structure. Then I tihnk i went and added a dep and when i started the server back up it was working all of a sudden... It wasn't until i was fighting another issue (https://github.com/vercel/next.js/issues/73801) and ran into it again when trying other stuff that I understood that this was the issue"
S1,P1,[bug]: intercepting routes cannot go back outside dynamic params,"### Link to the code that reproduces this issue

https://github.com/juliusmarminge/next-intercepting-routes

### To Reproduce

1. Deploy the project. This issue works when running locally (both `next dev` and `next start`).
2. Navigate down the tree until you get to an ""app""-segment (e.g. https://next-intercepting-routes-one.vercel.app/dashboard/1/1)
3. Click on a card, it should open as a modal but instead it hard navigates


### Current vs. Expected behavior

Locally it does what you expect, deployed it hard-navigates and checking server logs reveals this error:

![CleanShot 2024-12-11 at 16 55 38](https://github.com/user-attachments/assets/449ce58c-29f7-4acf-bf68-4a4eb2a57539)

But that doesn't make any sense since the `/dashboard/[team]/audit` page doesn't expect the `appId` param, and on the `/dashboard/[team]/[appId]` page it should be present. Are you only tracking 1 URL?

Demo: 
https://github.com/user-attachments/assets/22a21b29-a18f-4d62-8db6-f469f80fc014

### Provide environment information

```bash
Operating System:
  Platform: darwin
  Arch: arm64
  Version: Darwin Kernel Version 24.2.0: Fri Nov 15 19:28:48 PST 2024; root:xnu-11215.61.3~1/RELEASE_ARM64_T6000
  Available memory (MB): 16384
  Available CPU cores: 8
Binaries:
  Node: 20.18.0
  npm: 10.8.2
  Yarn: N/A
  pnpm: 10.0.0-alpha.0
Relevant Packages:
  next: 15.1.1-canary.0 // Latest available version is detected (15.1.1-canary.0).
  eslint-config-next: N/A
  react: 19.0.0
  react-dom: 19.0.0
  typescript: 5.5.3
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Parallel & Intercepting Routes

### Which stage(s) are affected? (Select all that apply)

Vercel (Deployed)

### Additional context

I cannot move the modal up above the `appId` segment since I don't want the modal to show when navigating from `/[team]` to `/[team]/audit` for example.

Also tried to create a route group between the two and mounting the modal there, without success.

At the end I even tried with a hacky workaround to do conditional hard navigations but that resulted in a whole other class of problems"
S1,P1,Cache handler ERR_MODULE_NOT_FOUND when using ESM modules,"### Link to the code that reproduces this issue

https://github.com/hdodov/test-nextjs/tree/cache-handler-not-working

### To Reproduce

1. Clone the repo https://github.com/hdodov/test-nextjs/tree/cache-handler-not-working
2. `npm i`
3. `npm run dev`
4. You'll see the error

### Current vs. Expected behavior

I have `""type"": ""module""` in my `package.json`, so I can't add the cache handler like this, as [the docs suggest](https://nextjs.org/docs/app/api-reference/config/next-config-js/incrementalCacheHandlerPath):

```js
module.exports = {
  cacheHandler: require.resolve('./cache-handler.js'),
  cacheMaxMemorySize: 0, // disable default in-memory caching
}
```

Instead, I need to add it like this:

```diff
module.exports = {
- cacheHandler: require.resolve('./cache-handler.js'),
+ cacheHandler: import.meta.resolve('./cache-handler.js'),
  cacheMaxMemorySize: 0, // disable default in-memory caching
}
```

However, when I do so, I get the following error on `npm run dev`:

```
$ npm run dev

> test-nextjs@0.1.0 dev
> next dev

   ▲ Next.js 15.1.0
   - Local:        http://localhost:3000
   - Network:      http://192.168.100.16:3000

 ✓ Starting...
 ✓ Ready in 1625ms
[Error: Cannot find module '/Users/hristiyan.dodov/Projects/test-nextjs/.next/file:/Users/hristiyan.dodov/Projects/test-nextjs/cache-handler.js' imported from /Users/hristiyan.dodov/Projects/test-nextjs/node_modules/next/dist/server/next-server.js] {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///Users/hristiyan.dodov/Projects/test-nextjs/.next/file:/Users/hristiyan.dodov/Projects/test-nextjs/cache-handler.js'
}
```

…and I also get it if I try `npm run build` directly:

```
$ npm run build

> test-nextjs@0.1.0 build
> next build

   ▲ Next.js 15.1.0

   Creating an optimized production build ...
 ✓ Compiled successfully
 ✓ Linting and checking validity of types    

> Build error occurred
[Error: Cannot find module '/Users/hristiyan.dodov/Projects/test-nextjs/file:/Users/hristiyan.dodov/Projects/test-nextjs/cache-handler.js' imported from /Users/hristiyan.dodov/Projects/test-nextjs/node_modules/next/dist/export/helpers/create-incremental-cache.js] {
  type: 'Error',
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///Users/hristiyan.dodov/Projects/test-nextjs/file:/Users/hristiyan.dodov/Projects/test-nextjs/cache-handler.js'
}
```

Check these two branches:

- https://github.com/hdodov/test-nextjs/tree/cache-handler-working — cache handler works here
- https://github.com/hdodov/test-nextjs/tree/cache-handler-not-working — here it doesn't

Here's a diff between the two: https://github.com/hdodov/test-nextjs/compare/cache-handler-working...cache-handler-not-working

### Provide environment information

```
Operating System:
  Platform: darwin
  Arch: x64
  Version: Darwin Kernel Version 23.6.0: Thu Sep 12 23:34:49 PDT 2024; root:xnu-10063.141.1.701.1~1/RELEASE_X86_64
  Available memory (MB): 32768
  Available CPU cores: 16
Binaries:
  Node: 20.17.0
  npm: 10.8.2
  Yarn: N/A
  pnpm: 9.15.0
Relevant Packages:
  next: 15.1.0 // Latest available version is detected (15.1.0).
  eslint-config-next: 15.1.0
  react: 19.0.0
  react-dom: 19.0.0
  typescript: 5.7.2
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Module Resolution

### Which stage(s) are affected? (Select all that apply)

next dev (local), next build (local)

### Additional context

_No response_"
S1,P1,Middleware matcher does not catch root path if base path is set,"### Link to the code that reproduces this issue

https://codesandbox.io/p/devbox/boring-cookies-go8s7s

### To Reproduce

1. Start application
2. Open root url (`/test`) - nothing will happen (but it should redirect)

### Current vs. Expected behavior

Commonly used matcher:
```
export const config = {
    matcher: [
        '/((?!api|_next/static|_next/image|favicon.ico|sitemap.xml|robots.txt).*)'
    ]
}
```
does not catch root path if base path is set in next config. 

If I add sole `/` it matches:
```
export const config = {
    matcher: [
        '/',
        '/((?!api|_next/static|_next/image|favicon.ico|sitemap.xml|robots.txt).*)'
    ]
}
```
If I remove base path from config the first example matches root path.

### Provide environment information

```bash
Operating System:
  Platform: linux
  Arch: x64
  Version: #1 SMP PREEMPT_DYNAMIC Debian 6.1.115-1 (2024-11-01)
  Available memory (MB): 31945
  Available CPU cores: 8
Binaries:
  Node: 21.7.1
  npm: 10.8.2
  Yarn: N/A
  pnpm: N/A
Relevant Packages:
  next: 15.0.4 // There is a newer version (15.1.0) available, upgrade recommended! 
  eslint-config-next: 15.0.4
  react: 19.0.0
  react-dom: 19.0.0
  typescript: 5.6.3
Next.js Config:
  output: standalone
```


### Which area(s) are affected? (Select all that apply)

Middleware

### Which stage(s) are affected? (Select all that apply)

next dev (local), next start (local), Other (Deployed)

### Additional context

_No response_"
S1,P1,MDX Plugin String Format resolution doesn't work with ESM plugins with multiple exports,"### Link to the code that reproduces this issue

https://github.com/wesbos/next-mdx-plugin-string-issue

### To Reproduce

When using strings to import a MDX Rehype plugin, the Next.js importer fails.

I believe this is only when the package has multiple ESM exports - like this package: https://github.com/stefanprobst/rehype-extract-toc/blob/main/package.json

Thansk to @karlhorky for linking me to the possible commit / code. CC @timneutkens 

https://github.com/vercel/next.js/pull/72802/files#diff-d5904dff78d88856dc003d263e6f70f0a607166230fba8e4b947a3bae5e4e87cR10

```js
import createMDX from ""@next/mdx"";

const withMDX = createMDX({
  options: {
    rehypePlugins: [
      [""@stefanprobst/rehype-extract-toc""],
      [""@stefanprobst/rehype-extract-toc/mdx""],
    ],
  },
});
```

We get the Error:

```
Error: No ""exports"" main defined in /Users/wesbos/Sites/delete-me/mdx-plugin-issue/node_modules/@stefanprobst/rehype-extract-toc/package.json
    at Array.map (<anonymous>) {
  code: 'ERR_PACKAGE_PATH_NOT_EXPORTED'
}
 ⨯ unhandledRejection: Error: No ""exports"" main defined in /Users/wesbos/Sites/delete-me/mdx-plugin-issue/node_modules/@stefanprobst/rehype-extract-toc/package.json
    at Array.map (<anonymous>) {
  code: 'ERR_PACKAGE_PATH_NOT_EXPORTED'
}
 ⨯ unhandledRejection:  Error: No ""exports"" main defined in /Users/wesbos/Sites/delete-me/mdx-plugin-issue/node_modules/@stefanprobst/rehype-extract-toc/package.json
    at Array.map (<anonymous>) {
  code: 'ERR_PACKAGE_PATH_NOT_EXPORTED'
}
```

Or 

```
Error: Package subpath './mdx' is not defined by ""exports"" in /Users/wesbos/Sites/delete-me/mdx-plugin-issue/node_modules/@stefanprobst/rehype-extract-toc/package.json
    at Array.map (<anonymous>) {
  code: 'ERR_PACKAGE_PATH_NOT_EXPORTED'
}
```

This error does not happen if the plugin is imported inside `next.config.mjs` and passed as a javascript function, but since Turborepo must pass as a string, I cannot do this.

The error exists both with and without --turbo.



### Current vs. Expected behavior

_

### Provide environment information

```bash
Operating System:
  Platform: darwin
  Arch: arm64
  Version: Darwin Kernel Version 24.1.0: Thu Oct 10 21:03:15 PDT 2024; root:xnu-11215.41.3~2/RELEASE_ARM64_T6000
  Available memory (MB): 65536
  Available CPU cores: 10
Binaries:
  Node: 23.1.0
  npm: 10.9.0
  Yarn: 1.22.22
  pnpm: 9.10.0
Relevant Packages:
  next: 15.0.4-canary.51 // Latest available version is detected (15.0.4-canary.51).
  eslint-config-next: N/A
  react: 19.0.0-beta-04b058868c-20240508
  react-dom: 19.0.0-beta-04b058868c-20240508
  typescript: 5.1.3
Next.js Config:
  output: N/A
```


### Which area(s) are affected? (Select all that apply)

Markdown (MDX)

### Which stage(s) are affected? (Select all that apply)

next dev (local)

### Additional context

_No response_"
S1,P1,"dnyamicParams = true doesnt work with ""output: export"" config","### Link to the code that reproduces this issue

https://codesandbox.io/p/devbox/heuristic-hooks-cndpsr

### To Reproduce

The CodeSandbox from NextJS to create minimal reproductions is broken, so my linked sandbox is too

use the output: export config,

create a page with a dynamic path: `/assessment/results/[id]/page.tsx`

add these contents:

```
export const dynamicParams = true

export function generateStaticParams() {
  return [{ params: { id: '1' } }]
}

export default function Page () .... // (doesnt matter what this is)
```

Run dev server and visit `http://localhost:3000/assessment/results/6

### Current vs. Expected behavior

it should render the page dynamically, instead I get the following error:

```
Error: Page ""/assessment/results/[id]/page"" is missing param ""/assessment/results/6"" in ""generateStaticParams()"", which is required with ""output: export"" config.
```

### Provide environment information

```bash
Operating System:
  Platform: win32
  Arch: x64
  Version: Windows 10 Education
  Available memory (MB): 32700
  Available CPU cores: 8
Binaries:
  Node: 18.17.1
  npm: N/A
  Yarn: N/A
  pnpm: N/A
Relevant Packages:
  next: 14.2.3 // An outdated version detected (latest is 15.0.4), upgrade is highly recommended!
  eslint-config-next: 14.0.4
  react: 18.2.0
  react-dom: 18.2.0
  typescript: 5.3.3
Next.js Config:
  output: export
```


### Which area(s) are affected? (Select all that apply)

Navigation, Output (export/standalone), Pages Router

### Which stage(s) are affected? (Select all that apply)

next dev (local)

### Additional context

_No response_"
S1,P1,Failed to build with the error occurred in `next/font`,"### Link to the code that reproduces this issue

https://stackblitz.com/edit/stackblitz-starters-yqm1pksx?file=package.json

### To Reproduce

1. Install next.js v14.2.20
2. Exec `npm run build` 

### Current vs. Expected behavior

**Current**

Failed to build with errors shown below

```
> next build

  ▲ Next.js 14.2.20
  - Environments: .env.local

   Creating an optimized production build ...
Failed to compile.

src/app/layout.tsx
An error occurred in `next/font`.

Error: Cannot find module '$HOME/node_modules/@jridgewell/gen-mapping/dist/gen-mapping.umd.js'
```

**Expected**

Passing to build with no errors.

### Provide environment information

```bash
Operating System:
  Platform: Darwin
  Arch: arm64
  Version: 22.6.0
Binaries:
  Node: 20.16.0
  npm: 10.5.1
Relevant Packages:
  next: 14.2.20
Next.js Config:
  output: standalone
```


### Which area(s) are affected? (Select all that apply)

Font (next/font)

### Which stage(s) are affected? (Select all that apply)

next build (local)

### Additional context

I think this error is related with https://github.com/jridgewell/gen-mapping/issues/14"
S1,P1,Empty URL search params are swallowed when rewriting via middleware on Vercel,"### Link to the code that reproduces this issue

https://github.com/migueloller/vercel-middleware-search-params-bug-repro

### To Reproduce

Deploy the application to Vercel. The easiest way is using the Vercel CLI. I have a deployed version that can be used to test [here](https://search-params-drab.vercel.app/?foo=bar).

Visit the path `/?foo=` and then visit `/?foo=bar`. Note that while the search params are there for `/?foo=bar`, they are not there for `/?foo=`.

### Current vs. Expected behavior

The expectation is that URL search params are there even if the value is an empty string. Note, this is only happening because of the rewrite in the middleware. If the `middleware.ts` file is deleted, then the expected behavior occurs.

### Provide environment information

```bash
Operating System:
  Platform: darwin
  Arch: arm64
  Version: Darwin Kernel Version 23.6.0: Mon Jul 29 21:13:04 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6020
  Available memory (MB): 16384
  Available CPU cores: 10
Binaries:
  Node: 18.19.0
  npm: 10.2.3
  Yarn: 1.22.21
  pnpm: 8.15.6
Relevant Packages:
  next: 15.0.3 // There is a newer version (15.0.4) available, upgrade recommended! 
  eslint-config-next: 15.0.3
  react: 19.0.0-rc-66855b96-20241106
  react-dom: 19.0.0-rc-66855b96-20241106
  typescript: 5.7.2
Next.js Config:
  output: N/A
 ⚠ There is a newer version (15.0.4) available, upgrade recommended! 
   Please try the latest canary version (`npm install next@canary`) to confirm the issue still exists before creating a new issue.
   Read more - https://nextjs.org/docs/messages/opening-an-issue
```


### Which area(s) are affected? (Select all that apply)

Middleware

### Which stage(s) are affected? (Select all that apply)

Vercel (Deployed)

### Additional context

The issue only happens when deploying to Vercel, it does not reproduce during local development. This is likely due to differences in the runtime middleware runs on in Vercel vs local dev."
